GLA Code (GMC id),WC Product ID,WC SKU,Match Method,GMC Title,WC Name,Brand,WC Categories,GTIN/UPC,GMC Price,GMC Sale Price,WC Regular Price,WC Sale Price,GMC Availability,WC In Stock?,WC Published,GMC Link
gla_17262,17262,551,id,Amerex 551 HT Series | 12.5 lb Halotron BrX | Clean Agent Fire Extinguisher with Hose | 2A:10BC,Amerex 551 HT Series | 12.5 lb Halotron BrX | Clean Agent Fire Extinguisher with Hose | 2A:10BC,Amerex,"Fire Extinguishers > Amerex, Fire Extinguishers",,2775.00 CAD,2000.00 CAD,2775,2000,in stock,1,1,https://teslafiresystems.com/product/amerex-551-12-5-lbs-halotron-brx-clean-agent/
gla_22122,22122,T-CDT,id,Solo C6 - Carbon Monoxide (CO) Detector Tester,Solo C6 - Carbon Monoxide (CO) Detector Tester,TESLA FIRE SYSTEMS,Smoke & Carbon Monoxide Alarm Products,,49.05 CAD,,49.05,,in stock,1,1,https://teslafiresystems.com/product/solo-c6-smoke-detector-tester/
gla_473,473,MP-300,id,Microm MP-300 EOL Resistor Plate- White 3.9K 1/2 WATT,Microm MP-300 EOL Resistor Plate- White 3.9K 1/2 WATT,Mircom,Fire Alarm System Products,,15.00 CAD,,15,,in stock,1,1,https://teslafiresystems.com/product/mircom-mp-300-eol-resistor-plate-white-3-9k-1-2-watt/
gla_20241,20241,,id,Fire Door Keep Closed Sign | Fire Rated Door Safety Sign,Fire Door Keep Closed Sign | Fire Rated Door Safety Sign,,Signs,,10.00 CAD,,10,,in stock,1,1,https://teslafiresystems.com/product/fire-door-keep-closed-sign-fire-rated-door-safety-sign/
gla_428,428,468094-428,id,Kidde 3 Storey Escape Ladder,Kidde 3 Storey Escape Ladder,Kidde,Fire Protection Products,047871680948,225.00 CAD,162.50 CAD,225,162.50,in stock,1,1,https://teslafiresystems.com/product/3-story-escape-ladder/
gla_19314,19314,C-15,id,"Heavy-Duty Single Hook Spanner & Hydrant Wrench - For Fire Hose Couplings, Hydrants & Valves","Heavy-Duty Single Hook Spanner & Hydrant Wrench - For Fire Hose Couplings, Hydrants & Valves",,Sprinklers & Hoses,,200.00 CAD,,200,,in stock,1,1,https://teslafiresystems.com/product/heavy-duty-single-hook-spanner-hydrant-wrench-for-fire-hose-couplings-hydrants-valves/
gla_1000,1000,OSY2A,id,System Sensor OSY2A | Outside Screw & Yoke - Valve Supervisory Switch with Mounting Bracket | ULC/FM Approved - NEMA 3R Rated,System Sensor OSY2A | Outside Screw & Yoke - Valve Supervisory Switch with Mounting Bracket | ULC/FM Approved - NEMA 3R Rated,System Sensor,Sprinklers & Hoses,670875920477,250.00 CAD,162.00 CAD,250,162,in stock,1,1,https://teslafiresystems.com/product/system-sensor-osy2a-osy-valve-supervisory-switch/
gla_18329,18329,TFSPB-SS-1-ND,id,Stainless Steel Fire Safety Plan Box | No Decal,Stainless Steel Fire Safety Plan Box | No Decal,TESLA FIRE SYSTEMS,Fire Safety Plan Boxes,,550.00 CAD,,550.00,,in stock,1,1,https://teslafiresystems.com/product/stainless-steel-fire-safety-plan-box-no-decal/
gla_1705,1705,RQ-4JDK-3UEX,id,Strike First SF1020 | 20lb ABC | UL/ULC & USCG Approved | Industrial,Strike First SF1020 | 20lb ABC | UL/ULC & USCG Approved | Industrial,Strike First,"Fire Extinguishers, Fire Extinguishers > Strike First",200,263.20 CAD,175.00 CAD,263.20,175,in stock,1,1,https://teslafiresystems.com/product/strike-first-sf-abc-1020-20lbs-ul-ulc-uscg-approved-industrial/
gla_332,332,15PARAP-100CB,id,"1-1/2"" x 100' Single Jacket Fire Hose - Designed to be Clipped on a Swing Rack","1-1/2"" x 100' Single Jacket Fire Hose - Designed to be Clipped on a Swing Rack",,Sprinklers & Hoses,,150.53 CAD,129.00 CAD,150.53,129,in stock,1,1,https://teslafiresystems.com/product/1-1-2-x-100-fire-hose-designed-to-be-clipped-on-a-swing-rack/
gla_470,470,,id,Mircom MH-25W - Mini Horn (White),Mircom MH-25W - Mini Horn (White),,Fire Alarm System Products,,35.00 CAD,,35,,in stock,1,1,https://teslafiresystems.com/product/mircom-mini-horn/
gla_275,275,6L-K-275,id,Amerex Wall Bracket - 6L K Class,Amerex Wall Bracket - 6L K Class,,"Fire Extinguishers > Fire Extinguisher Accessories, Fire Extinguishers",,10.00 CAD,,10,,in stock,1,1,https://teslafiresystems.com/product/type-k-fire-extinguisher-wall-bracket/
gla_1075,1075,S10,id,"SINGLE STAGE ALARM PULL STATION LABEL - ""DO NOT USE ELEVATOR""","SINGLE STAGE ALARM PULL STATION LABEL - ""DO NOT USE ELEVATOR""",TESLA FIRE SYSTEMS,Fire Protection Products,683,10.00 CAD,5.00 CAD,10,5,in stock,1,1,https://teslafiresystems.com/product/in-case-of-fire-single-stage-alarm-sign-no-elevator/
gla_22712,22712,,id,El-7006 Twin Spot LED Emergency Light,El-7006 Twin Spot LED Emergency Light,,Exit & Emergency Lighting,,50.00 CAD,47.99 CAD,50,47.99,in stock,1,1,https://teslafiresystems.com/product/el-7006-twin-spot-led-emergency-light/
gla_22664,22664,,id,El-7008ra Aluminum LED Edge-lit Exit Sign,El-7008ra Aluminum LED Edge-lit Exit Sign,,Exit & Emergency Lighting,,80.00 CAD,76.09 CAD,80,76.09,in stock,1,1,https://teslafiresystems.com/product/el-7008ra-aluminum-led-edge-lit-exit-sign/
gla_18331,18331,TFSPB-SSWD-2,id,Stainless Steel Fire Safety Plan Box | Plain,Stainless Steel Fire Safety Plan Box | Plain,TESLA FIRE SYSTEMS,Fire Safety Plan Boxes,3342,495.00 CAD,,495.00,,in stock,1,1,https://teslafiresystems.com/product/stainless-steel-fire-safety-plan-box-plain/
gla_281,281,5-818-281,id,Amerex Vehicle Bracket - 5lb ABC (818),Amerex Vehicle Bracket - 5lb ABC (818),Amerex,"Fire Extinguishers > Fire Extinguisher Accessories, Fire Extinguishers",,25.00 CAD,,25,,in stock,1,1,https://teslafiresystems.com/product/5lb-fire-extinguisher-vehicle-bracket-amerex-818/
gla_17354,17354,SF-10CO2A,id,Strike First 10lb CO2 | UL/ULC Approved | USCG Approved,Strike First 10lb CO2 | UL/ULC Approved | USCG Approved,Strike First,"Fire Extinguishers, Fire Extinguishers > Strike First",002100,330.00 CAD,320.00 CAD,330,320,in stock,1,1,https://teslafiresystems.com/product/strike-first-10lb-co2-ul-ulc-approved-uscg-approved/
gla_1064,1064,01521-1064,id,Amerex Wall Bracket - 2.5lb / 5lb ABC,Amerex Wall Bracket - 2.5lb / 5lb ABC,Amerex,"Fire Extinguishers > Fire Extinguisher Accessories, Fire Extinguishers",801,10.00 CAD,,10,,in stock,1,1,https://teslafiresystems.com/product/universal-fire-extinguisher-wall-hook-mount-bracket-hanger-for-5-lb-extinguisher-free-screw-washer-included/
gla_262,262,B500TX,id,Amerex B500TX | 5 lb ABC | Dry Chemical Fire Extinguisher with Vehicle Bracket | 3A 10B:C,Amerex B500TX | 5 lb ABC | Dry Chemical Fire Extinguisher with Vehicle Bracket | 3A 10B:C,Amerex,"Fire Extinguishers > Amerex, Fire Extinguishers",850026795257,100.00 CAD,95.00 CAD,100,95,in stock,1,1,https://teslafiresystems.com/product/amerex-b500tx-5-lb-abc-fire-extinguisher-with-vehicle-bracket-3a-10bc/
gla_1005,1005,WFD25N,id,"System Sensor WFD25 | Waterflow Detector for 2½"" Steel Sprinkler Pipe | NEMA 4 Rated - UL/FM Approved","System Sensor WFD25 | Waterflow Detector for 2½"" Steel Sprinkler Pipe | NEMA 4 Rated - UL/FM Approved",System Sensor,Sprinklers & Hoses,783850025168,250.00 CAD,230.00 CAD,250,230,in stock,1,1,https://teslafiresystems.com/product/system-sensor-wfd25-waterflow-detector-2-5-inch/
gla_22688,22688,,id,El-7030a5 Universal Single 5w LED Remote Head (3.6-24v),El-7030a5 Universal Single 5w LED Remote Head (3.6-24v),,Exit & Emergency Lighting,,21.75 CAD,,21.75,,in stock,1,1,https://teslafiresystems.com/product/el-7030a5-universal-single-5w-led-remote-head-3-6-24v/
gla_21251,21251,SM601A,id,BRK SM601A Battery Operated Smoke Alarm,BRK SM601A Battery Operated Smoke Alarm,BRK,Smoke Alarms,,40.00 CAD,35.50 CAD,40,35.50,in stock,1,1,https://teslafiresystems.com/product/brk-smi100-battery-operated-smoke-alarm/
gla_992,992,SF340-VB,id,Strike First SF340 I 5lb 3A40B:C I UL/ULC & USCG Approved I Mixed Use w/ Vehicle Bracket,Strike First SF340 I 5lb 3A40B:C I UL/ULC &amp; USCG Approved I Mixed Use w/ Vehicle Bracket,Strike First,"Fire Extinguishers, Fire Extinguishers > Strike First",0506,110.00 CAD,75.00 CAD,110.00,75.00,in stock,1,1,https://teslafiresystems.com/product/strike-first-sf340-5lbs-ul-ulc-uscg-approved-mixed-use/
gla_266,266,SF-110ST,id,Strike First SF110ST | Compact 2.5lb ABC I UL/ULC & USCG Approved,Strike First SF110ST | Compact 2.5lb ABC I UL/ULC & USCG Approved,Strike First,"Fire Extinguishers, Fire Extinguishers > Strike First",0251,69.35 CAD,40.75 CAD,69.35,40.75,in stock,1,1,https://teslafiresystems.com/product/strike-first-compact-sf110st-2-5lbs-ul-ulc-uscg-approved/
gla_22678,22678,,id,EL-7007RX/GX LED EMERGENCY EXIT SIGN,EL-7007RX/GX LED EMERGENCY EXIT SIGN,,Exit & Emergency Lighting,,55.10 CAD,,55.10,,in stock,1,1,https://teslafiresystems.com/product/el-7007rx-gx-led-emergency-exit-sign/
gla_1073,1073,2S30,id,"2 STAGE ALARM PULL STATION LABEL - ""DO NOT USE ELEVATOR""","2 STAGE ALARM PULL STATION LABEL - ""DO NOT USE ELEVATOR""",TESLA FIRE SYSTEMS,Fire Protection Products,788,5.00 CAD,,5,,in stock,1,1,https://teslafiresystems.com/product/in-case-of-fire-single-stage-alarm-sign-w-elevator/
