id,store code,quantity,price,sale price,availability
gla_17262,1010,10,2775.00 CAD,2000.00 CAD,in_stock
gla_22122,1010,10,49.05 CAD,,in_stock
gla_473,1010,10,15.00 CAD,,in_stock
gla_20241,1010,10,10.00 CAD,,in_stock
gla_428,1010,10,225.00 CAD,162.50 CAD,in_stock
gla_19314,1010,10,200.00 CAD,,in_stock
gla_1000,1010,10,250.00 CAD,162.00 CAD,in_stock
gla_18329,1010,10,550.00 CAD,,in_stock
gla_1705,1010,10,263.20 CAD,175.00 CAD,in_stock
gla_332,1010,10,150.53 CAD,129.00 CAD,in_stock
gla_470,1010,10,35.00 CAD,,in_stock
gla_275,1010,10,10.00 CAD,,in_stock
gla_1075,1010,10,10.00 CAD,5.00 CAD,in_stock
gla_22712,1010,10,50.00 CAD,47.99 CAD,in_stock
gla_22664,1010,10,80.00 CAD,76.09 CAD,in_stock
gla_18331,1010,10,495.00 CAD,,in_stock
gla_281,1010,10,25.00 CAD,,in_stock
gla_17354,1010,10,330.00 CAD,320.00 CAD,in_stock
gla_1064,1010,10,10.00 CAD,,in_stock
gla_262,1010,10,100.00 CAD,95.00 CAD,in_stock
gla_1005,1010,10,250.00 CAD,230.00 CAD,in_stock
gla_22688,1010,10,21.75 CAD,,in_stock
gla_21251,1010,10,40.00 CAD,35.50 CAD,in_stock
gla_992,1010,10,110.00 CAD,75.00 CAD,in_stock
gla_266,1010,10,69.35 CAD,40.75 CAD,in_stock
gla_22678,1010,10,55.10 CAD,,in_stock
gla_1073,1010,10,5.00 CAD,,in_stock
gla_22705,1010,10,110.00 CAD,99.00 CAD,in_stock
gla_17332,1010,10,440.00 CAD,372.50 CAD,in_stock
gla_22020,1010,10,126.75 CAD,,in_stock
gla_20263,1010,10,40.00 CAD,24.35 CAD,in_stock
gla_1058,1010,10,245.00 CAD,,in_stock
gla_467,1010,10,65.00 CAD,,in_stock
gla_475,1010,10,15.00 CAD,,in_stock
gla_16957,1010,10,495.00 CAD,,in_stock
gla_21237,1010,10,200.00 CAD,,in_stock
gla_270,1010,10,147.90 CAD,79.95 CAD,in_stock
gla_21244,1010,10,76.00 CAD,73.00 CAD,in_stock
gla_1399,1010,10,85.00 CAD,,in_stock
gla_22714,1010,10,50.00 CAD,47.23 CAD,in_stock
gla_292,1010,10,185.00 CAD,150.00 CAD,in_stock
gla_477,1010,10,36.95 CAD,,in_stock
gla_18344,1010,10,150.00 CAD,,in_stock
gla_20211,1010,10,155.00 CAD,113.00 CAD,in_stock
gla_22668,1010,10,120.00 CAD,85.00 CAD,in_stock
gla_481,1010,10,85.00 CAD,,in_stock
gla_460,1010,10,95.00 CAD,,in_stock
gla_973,1010,10,91.60 CAD,78.00 CAD,in_stock
gla_345,1010,10,22.99 CAD,20.50 CAD,in_stock
gla_396,1010,10,41.00 CAD,,in_stock
gla_22657,1010,10,74.12 CAD,,in_stock
gla_19317,1010,10,200.00 CAD,,in_stock
22178,1010,10,56.97 CAD,45.49 CAD,in_stock
gla_1036,1010,10,170.00 CAD,141.00 CAD,in_stock
gla_20268,1010,10,126.00 CAD,56.00 CAD,in_stock
gla_349,1010,10,178.00 CAD,148.00 CAD,in_stock
gla_248,1010,10,480.00 CAD,333.65 CAD,in_stock
gla_17226,1010,10,204.00 CAD,,in_stock
gla_1152,1010,10,76.40 CAD,63.99 CAD,in_stock
