id,title,description,link,image_link,availability,price,sale_price,brand,condition,gtin,mpn,identifier_exists
B500,Amerex B500 | 5 lb ABC | Dry Chemical Fire Extinguisher with Wall Bracket | 2A 10B:C,"The Amerex B500 is a rechargeable 5 lb ABC dry chemical fire extinguisher designed to protect against Class A, Class B, and Class C fires. Utilizing monoammonium phosphate dry chemical agent, the B500 provides dependable protection for commercial buildings, offices, retail spaces, warehouses, vehicles, workshops, and residential applications. The extinguisher features a durable steel cylinder, all-metal valve construction, and a high-gloss polyester powder-coated finish for long service life and reliable performance. Key Features 5 lb ABC dry chemical agent UL Rating: 2A 10B:C Rechargeable and serviceable design Stored-pressure operation Durable steel cylinder construction Anodized aluminum valve assembly High-gloss polyester powder-coated finish QR-coded multilingual instructions USCG approved when installed with listed bracket 6-year manufacturer's warranty Operating temperature: -65°F to 120°F (-54°C to 49°C) Specifications Agent: ABC Dry Chemical Capacity: 5 lb UL Rating: 2A 10B:C Discharge Time: 14 seconds Discharge Range: 12–18 ft Nominal Pressure: 195 PSIG Applications & Uses Offices Retail stores Warehouses Workshops Property management facilities Commercial buildings Light industrial facilities Vehicles and service trucks Residential garages and homes Fire Classes Protected ✔ Class A – Wood, paper, cloth, plastics ✔ Class B – Flammable liquids and gases ✔ Class C – Energized electrical equipment",https://teslafire.com/product/amerex-b500x-5-lb-abc-dry-chemical-fire-extinguisher-with-wall-bracket-3a-10bc/,https://teslafire.com/wp-content/uploads/2026/06/Amerex-abc.png,in_stock,123.58 USD,75.00 USD,Amerex,new,850026795134,B500,
B500T,Amerex B500T | 5 lb ABC | Dry Chemical Fire Extinguisher with Vehicle Bracket | 2A 10B:C,"The Amerex B500T is a rechargeable 5 lb ABC dry chemical fire extinguisher specifically configured with a heavy-duty vehicle bracket for mobile and transportation applications. Utilizing monoammonium phosphate dry chemical agent, the B500T provides dependable protection against Class A, Class B, and Class C fires while withstanding the demands of trucks, service vehicles, construction equipment, fleet vehicles, and marine applications. Its durable steel cylinder, all-metal valve construction, and stored-pressure design deliver reliable fire protection in rugged environments. Key Specifications 5 lb ABC dry chemical extinguishing agent UL Rating: 2A 10B:C Rechargeable stored-pressure design Heavy-duty vehicle bracket included Operating temperature: -65°F to +120°F Applications & Uses Service trucks and fleet vehicles Construction and heavy equipment Commercial and industrial vehicles Marine and recreational applications Workshops and mobile service operations Fire Classes Protected ✔ Class A – Ordinary combustibles ✔ Class B – Flammable liquids and gases ✔ Class C – Energized electrical equipment",https://teslafire.com/product/amerex-b500tx-5-lb-abc-dry-chemical-fire-extinguisher-with-vehicle-bracket-3a-10bc/,https://teslafire.com/wp-content/uploads/2026/06/Untitled-1.png,in_stock,128.00 USD,80.00 USD,Amerex,new,850026795257,B500T,
807,Amerex 807 | 5lb Heavy Duty Vehicle Bracket,"The Amerex 807 Heavy Duty Steel Bracket is designed to securely mount a 5lb fire extinguisher with a 4.25"" cylinder diameter. Made from durable steel with a primed and powder-coated paint finish, this bracket ensures long-lasting performance and meets the latest U/L salt spray requirements (240 hrs. @ 20% salt solution ASTM B117), providing reliable protection for your fire extinguisher in harsh environments.",https://teslafire.com/product/amerex-heavy-duty-vehicle-bracket-4-1-4″-cylinder-807/,https://teslafire.com/wp-content/uploads/2026/06/21.-Amerex-807-Heavy-Duty-Steel-Bracket-for-5lb-Fire-Extinguisher.jpg,in_stock,78.45 USD,,Amerex,new,,807,
818,Amerex 818 | 5lb Wrap Around Vehicle Bracket,"The Amerex 818 5lb Fire Extinguisher Vehicle Bracket is designed to securely mount a 5lb fire extinguisher in vehicles for easy access in emergencies. Made for durability, it ensures the extinguisher stays safely in place while on the move.",https://teslafire.com/product/amerex-vehicle-bracket-5lb-abc-818/,https://teslafire.com/wp-content/uploads/2026/07/818.png,in_stock,24.98 USD,,Amerex,new,,818,
B456,Amerex B456 | 10 lb ABC | Dry Chemical Fire Extinguisher with Wall Bracket | 4A 80B:C,"The Amerex B456 is a rechargeable 10 lb ABC dry chemical fire extinguisher designed for Class A, Class B, and Class C fire protection. It uses ABC dry chemical agent with a durable stored-pressure design, all-metal valve construction, and an operating temperature range of -65°F to +120°F . Key Specifications 10 lb ABC dry chemical extinguisher UL Rating: 4A 80B:C Rechargeable stored-pressure design All-metal valve construction Operating temperature: -65°F to +120°F Applications & Uses Commercial buildings Warehouses and distribution areas Workshops and maintenance areas Light-to-medium industrial facilities Property management fire protection Construction Sites",https://teslafire.com/product/amerex-b456x-10-lb-abc-dry-chemical-fire-extinguisher-with-wall-bracket-6a-80bc/,https://teslafire.com/wp-content/uploads/2026/06/3.-10-lb-Fire-Extinguisher-Amerex-B456-ABC-Multi-Purpose.jpg,in_stock,184.78 USD,100.00 USD,Amerex,new,850026795028,B456,
A411,Amerex A411 | 20 lb ABC | Dry Chemical Fire Extinguisher with Wall Bracket | 10A 120B:C,"The Amerex A411 is a rechargeable 20 lb ABC dry chemical fire extinguisher designed for larger commercial, industrial, and high-hazard applications requiring increased extinguishing capacity. Utilizing monoammonium phosphate ABC dry chemical agent, the A411 provides dependable protection against Class A, Class B, and Class C fires. Its heavy-duty steel cylinder, anodized aluminum valve assembly, and stored-pressure design make it an excellent choice for warehouses, manufacturing facilities, construction sites, and commercial buildings where enhanced fire protection is required. Key Specifications 20 lb ABC dry chemical extinguishing agent UL Rating: 10A 120B:C Rechargeable stored-pressure design Anodized aluminum valve construction Operating temperature: -65°F to +120°F Applications & Uses Warehouses and distribution centres Manufacturing and industrial facilities Commercial and institutional buildings Construction and heavy equipment facilities Property management and maintenance operations Fire Classes Protected ✔ Class A – Ordinary combustibles ✔ Class B – Flammable liquids and gases ✔ Class C – Energized electrical equipment",https://teslafire.com/product/amerex-a411x-20-lb-abc-dry-chemical-fire-extinguisher-with-wall-bracket-10a-120bc/,https://teslafire.com/wp-content/uploads/2026/06/411.png,in_stock,350.34 USD,186.00 USD,Amerex,new,850026795035,A411,
B386T,Amerex B386T | 5 lb Halotron I | Clean Agent Fire Extinguisher with Vehicle Bracket | 5B:C,"The Amerex B386T is a rechargeable 5 lb Halotron I clean agent fire extinguisher designed for protection against Class B and Class C fires where residue from dry chemical extinguishers is unacceptable. Utilizing Halotron I clean agent , the B386T leaves no powder residue and is ideal for protecting sensitive electronic equipment, laboratories, telecommunication facilities, marine applications, and commercial environments requiring clean fire suppression. The extinguisher features durable all-metal construction, a stored-pressure design, and an anodized aluminum valve assembly for dependable long-term performance. Key Specifications 5 lb Halotron I clean agent UL Rating: 5B:C Clean, non-conductive, residue-free extinguishing agent Rechargeable stored-pressure design Operating temperature: -40°F to +120°F Applications & Uses Computer and server rooms Electrical and control rooms Marine and boating applications Laboratories and telecommunication facilities Commercial and industrial facilities with sensitive equipment Fire Classes Protected ✔ Class B – Flammable liquids and gases ✔ Class C – Energized electrical equipment",https://teslafire.com/product/amerex-b386tx-5-lb-halotron1-clean-agent-fire-extinguisher-with-vehicle-bracket-5bc/,https://teslafire.com/wp-content/uploads/2026/06/20.-5lb-Fire-Extinguisher-Amerex-B386TX-Halotron-Class-BC.jpg,in_stock,1099.56 USD,772.00 USD,Amerex,new,850026795226,B386T,
322,Amerex 322 | 5 lb CO₂ | Carbon Dioxide Fire Extinguisher with Wall Bracket | 5B:C,"The Amerex 322 is a rechargeable 5 lb Carbon Dioxide (CO₂) fire extinguisher designed for protection against Class B and Class C fires. Utilizing clean, non-conductive carbon dioxide agent, the Model 322 leaves no residue after discharge, making it ideal for protecting sensitive electronic equipment, laboratories, commercial kitchens, and areas containing energized electrical equipment. Its durable steel cylinder and corrosion-resistant construction provide dependable performance in commercial and industrial environments. Key Specifications 5 lb carbon dioxide (CO₂) agent UL Rating: 5B:C Clean, residue-free extinguishing agent Non-conductive for energized electrical equipment Rechargeable stored-pressure design Applications & Uses Electrical rooms and control panels Computer and server rooms Laboratories and medical facilities Commercial kitchens Offices and commercial buildings Fire Classes Protected ✔ Class B – Flammable liquids and gases ✔ Class C – Energized electrical equipment",https://teslafire.com/product/amerex-322-5-lb-co₂-carbon-dioxide-fire-extinguisher-with-wall-bracket-5bc/,https://teslafire.com/wp-content/uploads/2026/06/9.-5lb-Fire-Extinguisher-Amerex-322-Carbon-Dioxide.jpg,in_stock,432.35 USD,263.00 USD,Amerex,new,850026795202,322,
C260,Amerex C260 | 6 Litre Type K | Wet Chemical Fire Extinguisher with Wall Bracket & Signage | 2A K,"The Amerex C260 is a rechargeable 6 litre Type K wet chemical fire extinguisher specifically designed for commercial kitchen fire hazards involving cooking oils and animal fats. Utilizing a potassium acetate-based wet chemical agent, the C260 provides superior cooling and suppresses re-flash by forming a protective soap-like layer over burning cooking media. This extinguisher is ideal for restaurants, food trucks, institutional kitchens, and other commercial cooking environments requiring code-compliant Class K fire protection. Key Specifications 6 litre Type K wet chemical agent UL Rating: 2A:K Rechargeable stored-pressure design Stainless steel cylinder and valve construction Operating temperature: +40°F to +120°F Applications & Uses Commercial kitchens Restaurants and cafeterias Food trucks and mobile kitchens Institutional cooking facilities Commercial cooking appliances and fryers Fire Classes Protected ✔ Class A – Ordinary combustibles ✔ Class K – Cooking oils and animal fats",https://teslafire.com/product/amerex-c260x-6-litre-type-k-wet-chemical-fire-extinguisher-with-wall-bracket-signage-2a-k/,https://teslafire.com/wp-content/uploads/2026/06/c260-1.png,in_stock,394.84 USD,326.00 USD,Amerex,new,850026795066,C260,
809,Amerex 809 | 10Lb Heavy Duty Vehicle Bracket,"The Heavy Duty Vehicle Bracket is designed to securely mount fire extinguishers with a 5"" cylinder diameter in vehicles. Made from durable steel, it ensures your extinguisher stays in place during transport, providing reliable access in case of an emergency.",https://teslafire.com/product/amerex-heavy-duty-vehicle-bracket-5-cylinder-809/,https://teslafire.com/wp-content/uploads/2026/06/22.-Amerex-809-Heavy-Duty-Steel-Bracket-for-10lb-Fire-Extinguisher.jpg,in_stock,85.54 USD,,Amerex,new,,809,
